Andhra Pradesh,Kurnool,Pattikonda,Onion,Local,FAQ,06/02/2024,1000,1500,1200
Bihar,Bhojpur,Piro,Potato,Jyoti,FAQ,06/02/2024,1300,1350,1325
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,06/02/2024,1000,1800,1400
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Peas Wet,Other,FAQ,06/02/2024,2000,3500,3000
Chattisgarh,Durg,Durg,Banana - Green,Banana - Green,FAQ,06/02/2024,1500,1600,1600
Chattisgarh,Durg,Durg,Cabbage,Cabbage,FAQ,06/02/2024,1200,1300,1200
Chattisgarh,Durg,Durg,Capsicum,Capsicum,FAQ,06/02/2024,2000,2500,2500
Chattisgarh,Durg,Durg,Methi(Leaves),Methi,FAQ,06/02/2024,1000,1200,1000
Chattisgarh,Durg,Durg,Mousambi(Sweet Lime),Mousambi,Medium,06/02/2024,4000,6000,6000
Chattisgarh,Durg,Durg,Peas Wet,Peas Wet,FAQ,06/02/2024,3000,3500,3500
Chattisgarh,Durg,Durg,Pomegranate,Pomogranate,Medium,06/02/2024,13000,15000,15000
Chattisgarh,Durg,Durg,Pumpkin,Pumpkin,FAQ,06/02/2024,1000,1200,1200
Chattisgarh,Mahasamund,Jhalap,Paddy(Dhan)(Common),Paddy fine,FAQ,06/02/2024,2000,2200,2200
Gujarat,Amreli,Damnagar,Lemon,Lemon,FAQ,06/02/2024,3850,4500,4250
Gujarat,Amreli,Damnagar,Tomato,Local,FAQ,06/02/2024,1000,1500,1350
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Bhindi(Ladies Finger),Other,FAQ,06/02/2024,3500,6200,4850
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Bottle gourd,Other,FAQ,06/02/2024,500,950,725
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Potato,Other,FAQ,06/02/2024,450,1060,800
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Tomato,Other,FAQ,06/02/2024,2000,2800,2400
Gujarat,Bharuch,Jambusar,Castor Seed,Other,FAQ,06/02/2024,5400,5800,5600
Gujarat,Bharuch,Jambusar(Kaavi),Bajra(Pearl Millet/Cumbu),Other,FAQ,06/02/2024,2100,2500,2300
Gujarat,Gandhinagar,Kalol,Castor Seed,Other,FAQ,06/02/2024,5555,5650,5600
Gujarat,Gandhinagar,Kalol,Paddy(Dhan)(Common),Other,FAQ,06/02/2024,1750,2615,2150
Gujarat,Gandhinagar,Kalol(Veg,Market,Kalol),Cauliflower,Cauliflower,FAQ,06/02/2024,500,1250,1000
Gujarat,Gandhinagar,Kalol(Veg,Market,Kalol),Guar,Other,FAQ,06/02/2024,3250,3750,3500
